Contemporâneo,Figurativo,Pop,Moderno,Conceitual,Abstrato,Retrato,Surrealista,Outro Tema,Paisagem,Natureza,Clássico,Realista,Minimalista,Expressionista,Vintage,Streetart,Impressionista,Pintura,Gravura,Técnica Mista,Outra Técnica,Desenho,Escultura,Fotografia,Livro,Colorido,Monocromático,Size,Price,Artist,Title,Image_Url,Marketplace
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,8736.0,6000.0,Diô Viana,0414M,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/7563/JTploTFs6pCPTTnHEtCPFV23032022101246.webp,Artsoul
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3600.0,14000.0,Narcélio Grud,Tulipa,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/17312/S64Gnk0hJRw7l5SoOqj2jX06042023153907.webp,Artsoul
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,4275.0,12000.0,Cabral,Cabral - sem título,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/17693/CZGU4pYJaQ67uZEHRwrRg630062023142911.webp,Artsoul
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1260.0,1800.0,Ana Schieck,Corn; série Edible Nature,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/1155/PoqPBTAyMCslsqTVrg4tVz22032022233109.webp,Artsoul
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,5670.0,5000.0,ROSSINI PEREZ,Tonsurada,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/510/4xXnuitrfM2UQW5AHjn8Uo22032022211937.webp,Artsoul
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,4050.0,9000.0,Renato Dib,Casulo Andrógino: Nose,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/244/CRm4E0JbomrSK6mhlJPLWI22032022203623.webp,Artsoul
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,4225.0,3500.0,Paulo Camillo Penna,"Nau, Torax",https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/9180/CPhYZEMz4ROTIGjeVTWxFM23032022115004.webp,Artsoul
True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1353.0,4500.0,Teresa Berlinck,"Vernacular, Livro Aberto",https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/6710/oMN1iognIIjk2F3xNuaXTI23032022081921.webp,Artsoul
True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1344.0,1750.0,José Rocha,Ressurreição,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/5130/JBXDgK6KQ4xBYXhFSY1dzW23032022064253.webp,Artsoul
True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,2322.0,2000.0,Claudio Caropreso,Sem título,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/4694/yMjO8tikimpUYLrazI3ZSx23032022054316.webp,Artsoul
